|created_time|id|link|message|message_tags|name|permalink_url|place|shares|story|story_tags|type|updated_time|from_name|from_id
1404|2015-10-30T21:56:18+0000|1542121719376709_1642145046041042|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1642145046041042/?type=3|¡Te invitamos a nuestra Escuela de Vacaciones !||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1642145046041042/||13.0|||photo|2015-10-30T21:56:18+0000|Cruz Roja Guatemalteca|1542121719376709
1405|2015-09-16T23:18:57+0000|1542121719376709_1630947390494141|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1630947390494141/?type=3|||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1630947390494141/||15.0|||photo|2015-09-16T23:18:57+0000|Cruz Roja Guatemalteca|1542121719376709
1406|2015-08-04T15:43:34+0000|1542121719376709_1616326411956239|https://www.facebook.com/CruzRojaGT/photos/a.1616326311956249/1616326315289582/?type=3|||Jornada de Donación Voluntaria de Sangre en el Parque Erick Barro|https://www.facebook.com/1542121719376709/posts/1616326411956239/|||Cruz Roja Guatemalteca added 4 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2015-08-04T15:43:34+0000|Cruz Roja Guatemalteca|1542121719376709
1407|2015-05-12T17:39:15+0000|1542121719376709_1587165418205672|https://www.facebook.com/CruzRojaGT/photos/a.1586928608229353/1587165418205672/?type=3|||Conmemorando el Día de la Madre|https://www.facebook.com/1542121719376709/posts/1587165418205672/||1.0|Cruz Roja Guatemalteca added a new photo.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2015-05-12T17:39:15+0000|Cruz Roja Guatemalteca|1542121719376709
1408|2015-02-18T21:47:57+0000|1542121719376709_1553797404875807|https://www.facebook.com/CruzRojaGT/photos/a.1553796938209187/1553796964875851/?type=3|||Jornada Médica Gratuita en Sta. Cruz, Chinautla|https://www.facebook.com/1542121719376709/posts/1553797404875807/||1.0|Cruz Roja Guatemalteca added 10 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2015-02-18T21:47:57+0000|Cruz Roja Guatemalteca|1542121719376709
1409|2019-06-16T21:30:00+0000|1542121719376709_2324016071187266|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/2324015687853971/?type=3|"#RecomendacionesEleccionesGenerales 🇬🇹
En los Centros de Votación te recomendamos:📝"|[]|Photos from Cruz Roja Guatemalteca's post|https://www.facebook.com/1542121719376709/posts/2324016071187266/|||||photo|2019-06-16T21:30:02+0000|Cruz Roja Guatemalteca|1542121719376709
1410|2019-06-03T18:50:00+0000|1542121719376709_2315064345415772|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/2315063595415847/?type=3|"#Capacitación | #OrienteGT 👨‍🏫

En Delegación Chiquimula fueron capacitados 11 nuevos voluntarios en el curso de ""Inducción al Movimiento Internacional de la Cruz Roja y Media Luna Roja"".

Bienvenidos a los nuevos voluntarios. 🚑"|[]|Photos from Cruz Roja Guatemalteca's post|https://www.facebook.com/1542121719376709/posts/2315064345415772/||7.0|||photo|2019-06-03T18:50:03+0000|Cruz Roja Guatemalteca|1542121719376709
1411|2019-05-02T21:29:41+0000|1542121719376709_2291564707765736|https://www.facebook.com/CruzRojaGT/photos/a.1545165879072293/2291564674432406/?type=3|"#OccidenteGT

#CruzRojaGT brinda Atención Médica en la aldea Cuyá, Tejutla, San Marcos"|[]|Photos from Cruz Roja Guatemalteca's post|https://www.facebook.com/1542121719376709/posts/2291564707765736/||2.0|||photo|2019-05-02T21:29:41+0000|Cruz Roja Guatemalteca|1542121719376709
1412|2019-04-11T01:00:01+0000|1542121719376709_2275311602724380|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/2275310939391113/?type=3|"❤️ #Recomendaciones | Previene, Cuida, Disfruta 🚑"|[]||https://www.facebook.com/1542121719376709/posts/2275311602724380/||21.0|||photo|2019-04-11T01:00:03+0000|Cruz Roja Guatemalteca|1542121719376709
1413|2019-03-08T00:30:00+0000|1542121719376709_2255539688034905|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/2255539264701614/?type=3|"👩‍🦰 #MujeresLíderes | Por el día de la Mujer, te esperamos mañana en nuestra Clínicas Médicas."|[]|Photos from Cruz Roja Guatemalteca's post|https://www.facebook.com/1542121719376709/posts/2255539688034905/||13.0|||photo|2019-03-08T00:30:02+0000|Cruz Roja Guatemalteca|1542121719376709
