,address,lat,lon,name
114,"Bachlaan 7  Doetinchem,  Gelderland 7002 MZ",51.9668300,6.3017050,Afdeling Doetinchem
115,"Bachlaan 7  Doetinchem,  Gelderland 7002 MZ",51.9668300,6.3017050,Afdeling Doetinchem
116,"Dubbelsteynlaan West 43  Dordrecht,  Zuid-Holland 3319 EK",51.7937865,4.6954916,Afdeling Dordrecht
117,"Dubbelsteynlaan West 43  Dordrecht,  Zuid-Holland 3319 EK",51.7937865,4.6954916,Afdeling Dordrecht
118,"Dubbelsteynlaan West 43  Dordrecht,  Zuid-Holland 3319 EK",51.7937865,4.6954916,Afdeling Dordrecht
119,"De Gouwe 50  Dronten,  Flevoland 8253 PA",52.5396772,5.7012507,Afdeling Dronten
120,"De Gouwe 50  Dronten,  Flevoland 8253 PA",52.5396772,5.7012507,Afdeling Dronten
121,"De Gouwe 50  Dronten,  Flevoland 8253 PA",52.5396772,5.7012507,Afdeling Dronten
122,"Julianalaan 64  Maasbracht,  Limburg 6051 AV",51.1441423,5.8891521,Afdeling Echt e.o.
123,"Julianalaan 64  Maasbracht,  Limburg 6051 AV",51.1441423,5.8891521,Afdeling Echt e.o.
124,"Klinkenbergerweg 30 C  Ede Gld,  Gelderland 6711 MK",52.0402598,5.670951,Afdeling Ede e.o.
125,"Klinkenbergerweg 30 C  Ede Gld,  Gelderland 6711 MK",52.0402598,5.6709510,Afdeling Ede e.o.
126,"Kramsvogel 42  Eijsden,  Limburg 6245 RE",50.7782676,5.7228404,Afdeling Eijsden-Margraten
127,"Kramsvogel 42  Eijsden,  Limburg 6245 RE",50.7782676,5.7228404,Afdeling Eijsden-Margraten
128,"Kramsvogel 42  Eijsden,  Limburg 6245 RE",50.7782676,5.7228404,Afdeling Eijsden-Margraten
129,"Willem van Konijnenburglaan 6  Eindhoven,  Noord-Brabant 5613 DW",51.4387588,5.495183,Afdeling Eindhoven e.o.
130,"Willem van Konijnenburglaan 6  Eindhoven,  Noord-Brabant 5613 DW",51.4387588,5.4951830,Afdeling Eindhoven e.o.
131,"Willem van Konijnenburglaan 6  Eindhoven,  Noord-Brabant 5613 DW",51.4387588,5.4951830,Afdeling Eindhoven e.o.
132,"Van Sytzamalaan 3  Oldebroek,  Gelderland 8096 AR",52.446564,5.9002123,Afdeling Elburg en Oldebroek
133,"Van Sytzamalaan 3  Oldebroek,  Gelderland 8096 AR",52.4463641,5.9004948,Afdeling Elburg en Oldebroek
134,"Slenerbrink 272  Emmen,  Drenthe 7812 HL",52.7583561,6.88952,Afdeling Emmen
135,"Slenerbrink 272  Emmen,  Drenthe 7812 HL",52.7583561,6.8895201,Afdeling Emmen
136,"Slenerbrink 272  Emmen,  Drenthe 7812 HL",52.7583561,6.8895201,Afdeling Emmen
137,"Veenroede 21  Emmer-Compascuum,  Drenthe 7881 XM",52.8035293,6.9876196,Afdeling Emmer-Compascuum/Roswinkel
138,"Blekerstraat 81  Enschede,  Overijssel 7513 DT",52.215683,6.884497,Afdeling Enschede
139,"Blekerstraat 81  Enschede,  Overijssel 7513 DT",52.2156830,6.8844970,Afdeling Enschede
140,"Blekerstraat 81  Enschede,  Overijssel 7513 DT",52.2156830,6.8844970,Afdeling Enschede
141,"Lohuizerweg 18 -1  Epe,  Gelderland 8162 EX",52.3533195,5.9824523,Afdeling Epe/Heerde
142,"Lohuizerweg 18 -1  Epe,  Gelderland 8162 EX",52.3533195,5.9824523,Afdeling Epe/Heerde
143,"Lange Haeg 189  Ermelo,  Gelderland 3853 EG",52.3012191,5.6011315,Afdeling Ermelo-Putten
144,"Slobbegorsedijk 2  Heijningen,  Noord-Brabant 4794 RR",51.6495414,4.4133662,Afdeling Fijnaart en Heijningen
145,"Slobbegorsedijk 2  Heijningen,  Noord-Brabant 4794 RR",51.6495414,4.4133662,Afdeling Fijnaart en Heijningen
146,"Kinkenweg 13 A  Geleen,  Limburg 6166 AM",50.9689896,5.8374778,Afdeling Geleen e.o.
147,"Kinkenweg 13 A  Geleen,  Limburg 6166 AM",50.9689896,5.8374778,Afdeling Geleen e.o.
148,"Kinkenweg 13 A  Geleen,  Limburg 6166 AM",50.9689896,5.8374778,Afdeling Geleen e.o.
149,"Heiweg 5  Malden,  Gelderland 6581 EA",51.7912766,5.8518985,Afdeling Gemeente Heumen
150,"Rijksvluchthaven 24  Heijen,  Limburg 6591BC",51.6823028,5.9724448,Afdeling Gennep e.o.
151,"Rijksvluchthaven 24  Heijen,  Limburg 6591BC",51.6823028,5.9724448,Afdeling Gennep e.o.
152,"Helmkruid 5  Gieten,  Drenthe 9461 LL",52.998417,6.7726798,Afdeling Gieten/Gasselte
153,"Helmkruid 5  Gieten,  Drenthe 9461 LL",52.9984170,6.7726798,Afdeling Gieten/Gasselte
154,"Helmkruid 5  Gieten,  Drenthe 9461 LL",52.9984170,6.7726798,Afdeling Gieten/Gasselte
155,"Marnix Gijsenstraat 7  Sommelsdijk,  Zuid-Holland 3245 ME",51.7636856,4.1537635,Afdeling Goeree-Overflakkee
156,"Marnix Gijsenstraat 7  Sommelsdijk,  Zuid-Holland 3245 ME",51.7636856,4.1537635,Afdeling Goeree-Overflakkee
157,"Marnix Gijsenstraat 7  Sommelsdijk,  Zuid-Holland 3245 ME",51.7636856,4.1537635,Afdeling Goeree-Overflakkee
158,"  Bussum,   ",52.2737893,5.1663871,Afdeling Gooi- en Vechtstreek
159,"  Bussum,   ",52.2737893,5.1663871,Afdeling Gooi- en Vechtstreek
160,"  Bussum,   ",52.2737893,5.1663871,Afdeling Gooi- en Vechtstreek
161,"Punt 6  Gouda,  Zuid-Holland 2801 PZ",52.0072745,4.7142511,Afdeling Gouda en omstreken
162,"Punt 6  Gouda,  Zuid-Holland 2801 PZ",52.0072745,4.7142511,Afdeling Gouda en omstreken
163,"Adriaen Brouwerstraat 10  Haaksbergen,  Overijssel 7482 ZK",52.1610871,6.7273296,Afdeling Haaksbergen
164,"Adriaen Brouwerstraat 10  Haaksbergen,  Overijssel 7482 ZK",52.1612477,6.7276769,Afdeling Haaksbergen
165,"Adriaen Brouwerstraat 10  Haaksbergen,  Overijssel 7482 ZK",52.1612477,6.7276769,Afdeling Haaksbergen
166,"Vergierdeweg 52  Haarlem,  Noord-Holland 2025 TK",52.414591,4.6518287,Afdeling Haarlem e.o.
167,"Vergierdeweg 52  Haarlem,  Noord-Holland 2025 TK",52.4144633,4.6521705,Afdeling Haarlem e.o.
168,"Vergierdeweg 52  Haarlem,  Noord-Holland 2025 TK",52.4144633,4.6521705,Afdeling Haarlem e.o.
169,"Nieuweweg 33b  Hoofddorp,  Noord-Holland 2132 CK",52.3051935,4.6995687,Afdeling Haarlemmermeer
170,"Nieuweweg 33b  Hoofddorp,  Noord-Holland 2132 CK",52.3051935,4.6995687,Afdeling Haarlemmermeer
