,Unnamed: 0,fb_id,fb_name,tw_id,tw_name,type,address,latitude,longitude
69,69,1728117500607313,Rode Kruis Horst aan de Maas,,,branch,Gebroeders van Doornelaan 63 5961 BB Horst Netherlands ,51.464822921881,6.0483384132385005
70,70,755355707837557,Rode Kruis Súdwest Fryslân,,,branch,Selfhelpweg 2 8607 AB Sneek Netherlands ,53.02805,5.66173
71,71,1939832839654711,Rode Kruis Friesland Noord Dokkum,,,branch,Dokkum Netherlands ,53.322249899999996,6.01555
72,72,1993804660889894,Rode Kruis Brummen Eerbeek Hall en Loenen,,,branch,Händelstraat 45 6961 AB Eerbeek Netherlands ,52.110406065671995,6.0556983947754
73,73,1219070211487696,Rode Kruis Achterhoek Oost,,,branch,Winterswijk Netherlands ,51.97355,6.715439999999999
74,74,337130256693715,Rode Kruis Zwijndrechtsewaard,,,branch,Kapitein Rietbergenflat 26 3333 CA Zwijndrecht Netherlands ,51.80922,4.63345
75,75,359430480811794,Rode Kruis Leidschendam-Voorburg,,,branch,Herenstraat 165 2271 CE Leidschendam-Voorburg Netherlands ,52.06649,4.36194
76,76,2235360690067787,Rode Kruis Den Helder,,,branch,bankastraat  27 1782TA Den Helder Netherlands ,52.95831999999999,4.749619999999999
77,77,722378874444276,Rode Kruis Evenementenhulpverlening werkgroep Drachten,,,branch,Omloop 42 Drachten Netherlands ,53.109680000000004,6.08421
78,78,773539686172397,Rode Kruis Zwartewaterland,,,branch,Hasselt Netherlands ,52.5905,6.10585
79,79,385258238476028,Rode Kruis Joure,,,branch,Vegelinsweg 6b 8501BA Joure Netherlands ,52.9719,5.79384
80,80,573448452757831,Rode Kruis Katwijk,,,branch,Prins Hendrikkade 12 2225 TZ Katwijk Netherlands ,52.205582695768,4.4076886905456
81,81,839728386145884,Rode Kruis locatie Venray,,,branch,Bergweg 4 5801 EG Venray Netherlands ,51.526464636957996,5.9673571586609
82,82,697937597017931,Rode Kruis Bergen op Zoom e.o.,,,branch,Karmel 225 4613 BS Bergen op Zoom Netherlands ,51.50313189999999,4.2773900000000005
83,83,1642602946025670,Rode Kruis Culemborg,,,branch,Otto van Reesweg 10 4105 AA Culemborg Netherlands ,51.95298,5.219500099999999
84,84,318486294899368,Rode Kruis afdeling Amersfoort-Eemland,,,branch,Columbusweg 30 Amersfoort Netherlands ,52.159909999999996,5.402419999999999
85,85,1534401146889853,Rode Kruis Nieuwegein,,,branch,Constructieweg 6 3433 NN Nieuwegein Netherlands ,52.012809999999995,5.1022
86,86,187082824672673,Rode Kruis 's-Hertogenbosch e.o.,,,branch,Oude Dieze 12 5211 KV 's-Hertogenbosch Netherlands ,51.6857,5.30816
